city,restaurant_count,avg_rating,avg_votes,avg_cost,rating_std,location_score,location_cluster
Miller,1,3.4,11.0,0.0,0.0,20000002.174786713,0
Lakes Entrance,1,3.8,97.0,7.0,0.0,5.821947410636816,0
Inverloch,1,3.7,100.0,7.0,0.0,5.790993322088023,0
Dicky Beach,1,3.6,29.0,7.0,0.0,5.386816381534291,0
Clatskanie,1,4.3,96.0,10.0,0.0,5.1617278116070295,0
Vernonia,1,4.3,88.0,10.0,0.0,5.135905428975656,0
Athens,20,4.2,637.5,19.0,0.21521103473958828,4.97482026995983,2
Fernley,1,3.7,83.0,10.0,0.0,4.878559557709009,0
Tampa Bay,20,4.41,1370.35,34.75,0.3177221560122186,4.811057076083192,1
Orlando,20,4.475,1199.45,40.25,0.2863104682168054,4.718482171009377,1
Rest of Hawaii,20,4.41,752.75,31.75,0.2731878089288914,4.685891708187242,2
Lincoln,1,4.5,799.0,25.0,0.0,4.674698204356374,0
Pensacola,20,4.2,844.5,30.25,0.35243513774280455,4.667587697210892,2
Dalton,20,4.11,128.05,16.0,0.32101811721295004,4.656512143496734,2
Lakeview,1,3.6,41.0,10.0,0.0,4.630615403541025,0
Boise,20,4.26,519.05,27.25,0.19841477024816376,4.618574659206766,2
Des Moines,20,4.235,554.6,28.0,0.3717313687682488,4.60875251581191,2
Hepburn Springs,2,3.8,142.5,13.5,0.0,4.601243111168835,0
Savannah,20,4.154999999999999,768.85,32.5,0.3410124245305596,4.575695547424825,2
Beechworth,1,4.6,237.0,20.0,0.0,4.550995870157439,0
Augusta,20,4.13,395.45,27.0,0.3113637236754673,4.4919579359937645,2
Cedar Rapids/Iowa City,20,4.165,332.3,25.75,0.31501879643167835,4.4898641383295965,2
Gainesville,20,4.035,220.4,21.25,0.522418465056107,4.479619976152283,2
Bangalore,20,4.375,2805.75,1232.5,0.28074149937920506,4.452614177088226,1
Macon,20,4.115,263.6,27.25,0.3248886448907493,4.357862946471281,2
Columbus,20,4.029999999999999,269.35,26.75,0.31805328914639786,4.344030991972577,2
Kolkata,20,4.255,2229.65,1272.5,0.3872643595924189,4.335183826638749,1
Phillip Island,1,3.7,351.0,20.0,0.0,4.308404020735426,0
Palm Cove,1,4.4,381.0,30.0,0.0,4.2796075450824125,0
Davenport,18,4.127777777777777,167.61111111111111,25.27777777777778,0.3339699802563373,4.2750422526152105,2
��stanbul,14,4.292857142857143,860.2142857142857,81.42857142857143,0.39703571959883266,4.2610649153751,2
London,20,4.535,436.2,64.5,0.28887258163600926,4.2526469852355,2
Tanunda,1,4.4,339.0,30.0,0.0,4.244665047783502,0
Pocatello,19,3.668421052631579,137.1578947368421,20.526315789473685,0.1416279616889395,4.2198197340560215,0
Chennai,20,4.3149999999999995,1384.75,1085.0,0.29960500312033655,4.21908445996883,1
Hyderabad,18,4.344444444444445,1340.8333333333333,1361.111111111111,0.3433780667602785,4.207453188356225,1
Dubai,20,4.37,934.65,211.75,0.41939806490028697,4.1992756893453445,2
Sioux City,20,3.7649999999999997,157.8,24.25,0.14244112357114608,4.155488142447501,0
Mumbai,20,4.085,1484.85,1072.5,0.37173136876824875,4.148222945819831,1
Waterloo,20,3.65,104.15,21.25,0.15043795713638364,4.102245040714535,0
Pune,20,4.220000000000001,1036.6,1337.5,0.28395700193403994,4.09080520468987,1
Valdosta,20,3.715,210.0,29.25,0.21343062474478044,4.079770344199413,0
